id,content,,
9.82793918889722E+017,Houston &amp  Dallas #MarchForOurLives squad making it happen. So glad to have been there with you tonight! https://t.co/Ktmq4Ig9vk,,
9.82793907758125E+017,"RT @lauren_hoggs: My new backpack is almost as transparent as the NRA’s agenda. 

I feel sooo safe now. 

As much as I appreciate the effor…",,
9.82793883435373E+017,"RT @realFireNunes: .@devinnunes starts ignoring his constituents early on -right at voting age!

He was a no-show at the #MarchForOurLives…",,
9.8279385686843E+017,"RT @realFireNunes: .@JanzforCongress speaking at the #marchforourlives #fresno 

That stiff off to right is #FlatDevin @DevinNunes 

@JoyAn…",,
9.8279383265076E+017,"RT @cameron_kasky: A formal, well-produced, totally not unscripted message from #MarchForOurLives https://t.co/Velxih8q3B",,
9.82793815760097E+017,RT @TopRopeTravis: Perhaps this is why Trump and the NRA ammosexuals are so intimidated by Stoneman Douglas and #MarchForOurLives students.…,,
9.82793815147864E+017,RT @RareCandace: Important to note that Anthony took bullets to protect his fellow students in the 1200 building. He did not speak at #Marc…,,
9.82793789935727E+017,RT @lubi930: We march so our kids are safer. We March to remember those who died from gun violence. We March to have our voices heard.  #Ma…,,
9.82793757128118E+017,"RT @JaclynCorin: THANK YOU for keeping the message alive. #MarchForOurLives was not a moment, but a movement. https://t.co/Vz7emwb5ka",,
9.82793735262978E+017,"Glad to see students from my alma mater, Glenbard South, speaking out about gun safety and organizing this town hal… https://t.co/xizJURVXih",,
9.82793715394732E+017,RT @MarilynFrenche: @davidhogg111 @ChangeTheRef Beautiful. Powerful. #MarchForOurLives,,
9.82793652417294E+017,"RT @TheJordanRachel: After hearing about the Muenster attack, the only logical way to handle this is to raise the driving age to 21... or t…",,
9.82793614504931E+017,"RT @AMarch4OurLives: 1,300 children shot to death every year in the United States. We cannot let this statistic be normalized in our societ…",,
9.82793596582748E+017,RT @KirkPWatson: It’s time for us to listen. It’s time for all of us to listen to the young people who are organizing these town halls. The…,,
9.82793566844994E+017,"@TroyRiser @PshrinkEmeritus @SteveWoodsmall fyi troy... the \\""organizers\\"" the stoneman douglas masscure [survivors]… https://t.co/gBjaI8Woai",,
9.82793546540266E+017,"RT @cameron_kasky: A formal, well-produced, totally not unscripted message from #MarchForOurLives https://t.co/Velxih8q3B",,
9.82793546024579E+017,RT @Emma4Change: I have absolutely no words... Thank you not only for your service but for standing with us as we #MarchForOurLives tomorro…,,
9.82793529935081E+017,"RT @SandraTXAS: The government cannot be trusted to protect us:

Parkland shooting hero blames sheriff and superintendent for failing to pr…",,
9.82793462922842E+017,"RT @mallardforva: I want to thank the students who organized the #MarchForOurLives Town Hall Meeting that was held in Onancock, Virginia.…",,
